"QR Code","Scope Item","Google Drive Link","Bestandsnaam","Status"
"","(AR110A)PERMIT","https://drive.google.com/file/d/1kvW6xwyRdfxjIhxlCL0PdoYHc4bQdCC3/view","(AR110A)Permit_STP_1012531_2026-03-05-09_06.pdf","GEEN_QR"
"","(AR110B)PERMIT","https://drive.google.com/file/d/1CXrWSGkH6W61pYUkVezjBd6EHCpVygnX/view","(AR110B)Permit_STP_1012557_2026-03-05-09_06.pdf","GEEN_QR"
"","(AS111)PERMIT","https://drive.google.com/file/d/1nQSQPfjxUkoOyo7IPt9w2QEbhjXQa-Xh/view","(AS111)Permit_STP_1012574_2026-03-05-09_06.pdf","GEEN_QR"
"","(AS3150)PERMIT","https://drive.google.com/file/d/1cDxoSsDMKzJs_gwx0FgAwKJurFvDnTHR/view","(AS3150)Permit_STP_1012576_2026-03-05-09_05.pdf","GEEN_QR"
"","(AT110)PERMIT","https://drive.google.com/file/d/1zcWZqHCIiY8lZCR_YwDc8E9AF06b5NI6/view","(AT110)Permit_STP_1012579_2026-03-05-09_04.pdf","GEEN_QR"
"","(AT3152)PERMIT","https://drive.google.com/file/d/1C02AKpE-MxPK2aayaP9Iq2TVP8n-MNXf/view","(AT3152)Permit_STP_1012578_2026-03-05-09_04.pdf","GEEN_QR"
"","(MENGGOOT)PERMIT","https://drive.google.com/file/d/1H6BDkQkG-EO-Ykl2EhiD1bUYAS61yxBA/view","(menggoot)Permit_STP_1012585_2026-03-05-09_02.pdf","GEEN_QR"
"","(OVERLOOPGOOT)PERMIT","https://drive.google.com/file/d/1Z4HIaNikPp5FBgQYkdpw0FkXPR0vydWo/view","(overloopgoot)Permit_STP_1012584_2026-03-05-09_02.pdf","GEEN_QR"
"","(VERBINDINGSGOOT)PERMIT","https://drive.google.com/file/d/15Mtn6at4eIX2gczau-UWRJrIoDjTI4Nu/view","(verbindingsgoot)Permit_STP_1012583_2026-03-05-09_03.pdf","GEEN_QR"
"","2 E I ALGEMEEN.PDF","https://drive.google.com/file/d/1O4w4heqoYahhzCCx-AYMI_JzoHO8tmyI/view","2 E i Algemeen.pdf","GEEN_QR"
